LOCATION,INDICATOR,GEN,Year,Value
COL,SELFEMP,WOMEN,2019,48.09366
COL,SELFEMP,WOMEN,2020,47.92006
COL,SELFEMP,WOMEN,2021,51.33015
ISR,SELFEMP,WOMEN,2018,9.363269
ISR,SELFEMP,WOMEN,2019,9.446948
ISR,SELFEMP,WOMEN,2020,9.251678
ISR,SELFEMP,WOMEN,2021,9.4714
RUS,SELFEMP,WOMEN,2018,5.773352
RUS,SELFEMP,WOMEN,2019,5.692432
RUS,SELFEMP,WOMEN,2020,5.701935
SVN,SELFEMP,WOMEN,2018,11.93872
SVN,SELFEMP,WOMEN,2019,9.708576
SVN,SELFEMP,WOMEN,2020,9.899995
SVN,SELFEMP,WOMEN,2021,10.02536
EU28,SELFEMP,WOMEN,2018,11.39063
EA19,SELFEMP,WOMEN,2018,10.76546
EA19,SELFEMP,WOMEN,2019,10.73664
EA19,SELFEMP,WOMEN,2020,10.7061
EA19,SELFEMP,WOMEN,2021,10.40598
LTU,SELFEMP,WOMEN,2018,9.170949
EU27_2020,SELFEMP,WOMEN,2018,11.46141
EU27_2020,SELFEMP,WOMEN,2019,11.33066
EU27_2020,SELFEMP,WOMEN,2020,11.36866
EU27_2020,SELFEMP,WOMEN,2021,10.59667
